,Battery,Brand,Multi_core,Name,OpenCL,Processor,Processor_Cores,Processor_Frequency,RenderScript,Single_core
1102,N/A,Asus,2445,Asus Zenfone 3 Laser,1286,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,2015,651
1103,N/A,Vivo,2428,Vivo Y66,N/A,Qualcomm MSM8937 Snapdragon 430,8,1508 MHz,1671,586
1104,1403,Huawei,2427,Huawei P8,1883,HiSilicon Kirin 935,4,1516 MHz,1972,680
1105,1329,Samsung,2422,Samsung Galaxy Note 3,1974,Qualcomm Snapdragon 800,4,2265 MHz,2235,923
1106,N/A,ZTE,2422,ZTE Trek 2 ,1276,Qualcomm MSM8952 Snapdragon 617,8,1516 MHz,2425,710
1107,N/A,Doogee,2421,Doogee F5,N/A,Mediatek MT6753,8,1300 MHz,1468,605
1108,N/A,Motorola,2418,Motorola Moto X (2014),2414,Qualcomm MSM8974AC Snapdragon 801,4,2457 MHz,2529,999
1109,N/A,Samsung,2416,Samsung Galaxy S4,1452,Qualcomm Snapdragon 800,4,2265 MHz,1533,950
1110,1851,Wiko,2415,Wiko Fever 4G,N/A,Mediatek MT6753,8,1300 MHz,1572,602
1111,1105,Samsung,2412,Samsung Galaxy S5,2171,Qualcomm MSM8974AC Snapdragon 801,4,2457 MHz,2328,931
1112,N/A,ZTE,2412,ZTE Blade V7,N/A,Mediatek MT6753,8,1300 MHz,1647,607
1113,N/A,Oukitel,2409,Oukitel K6000 Pro,N/A,Mediatek MT6753,8,1300 MHz,1610,596
1114,N/A,General,2402,General Mobile GM 5 Plus,1227,Qualcomm MSM8952 Snapdragon 617,8,1516 MHz,1822,684
1115,N/A,BLU,2382,BLU Vivo 5R,N/A,Mediatek MT6753,8,1300 MHz,1639,599
1116,N/A,Meizu,2379,Meizu M6,N/A,Mediatek MT6750,8,1001 MHz,1710,601
1117,N/A,Meizu,2378,Meizu M3 Note,N/A,Mediatek MT6755 Helio P10,8,1001 MHz,1542,720
1118,1229,BlackBerry,2378,BlackBerry Priv,2741,Qualcomm MSM8992 Snapdragon 808,6,1440 MHz,2637,1060
1119,1501,Motorola,2374,Motorola Moto Maxx,4828,Qualcomm APQ8084 Snapdragon 805,4,2649 MHz,2862,1000
1120,N/A,Samsung,2372,Samsung Galaxy S5 Duos,2219,Qualcomm MSM8974AC Snapdragon 801,4,2457 MHz,2361,913
1121,N/A,Lenovo,2370,Lenovo K6 Note,1293,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,2126,642
1122,N/A,ZTE,2370,ZTE Nubia Z7 Mini,N/A,Qualcomm MSM8974AA Snapdragon 801,4,2265 MHz,1936,940
1123,N/A,HTC,2367,HTC One E9+,1759,Mediatek MT6795 Helio X10,8,1950 MHz,690,766
1124,N/A,Lenovo,2360,Lenovo Vibe K4 Note,N/A,Mediatek MT6753,8,1300 MHz,1665,598
1125,954,LG,2351,LG G Flex 2,4842,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3441,1177
1126,1670,Meizu,2348,Meizu M5 Note,N/A,Mediatek MT6755 Helio P10,8,1001 MHz,1865,700
1127,N/A,LeMobile,2345,LeMobile Le X527,N/A,,0,1401 MHz,3641,1406
1128,N/A,Wileyfox,2344,Wileyfox Swift 2 Plus,1292,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,2086,652
1129,1385,Sony,2343,Sony Xperia Z1,2003,Qualcomm Snapdragon 800,4,2150 MHz,2240,970
1130,2548,ulefone,2337,ulefone Power,N/A,Mediatek MT6753,8,1300 MHz,1496,596
1131,1173,LG,2329,LG G2,2026,Qualcomm Snapdragon 800,4,2265 MHz,2158,991
1132,N/A,LG,2323,LG G Pro 2,2040,Qualcomm Snapdragon 800,4,2265 MHz,2292,971
1133,1320,HTC,2305,HTC One (M8),2498,Qualcomm MSM8974AB Snapdragon 801,4,2265 MHz,2435,961
1134,N/A,HTC,2305,HTC One (M8x),2496,Qualcomm MSM8974AB Snapdragon 801,4,2457 MHz,2656,973
1135,N/A,Meizu,2305,Meizu U20,N/A,Mediatek MT6755 Helio P10,8,1807 MHz,1553,703
1136,1080,Sony,2296,Sony Xperia Z3+,4744,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3655,1207
1137,N/A,HTC,2291,HTC One M8 Dual Sim,2514,Qualcomm MSM8974AA Snapdragon 801,4,2265 MHz,2466,953
1138,N/A,Lenovo,2284,Lenovo K6 Power,1450,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1950,624
1139,1271,OnePlus,2276,OnePlus X,2009,Qualcomm MSM8974AB Snapdragon 801,4,2265 MHz,1959,949
1140,1267,NVIDIA,2274,NVIDIA Shield,N/A,NVIDIA Tegra 4,4,1912 MHz,2060,877
1141,N/A,Coolpad,2274,Coolpad Note 3,N/A,Mediatek MT6753,8,1300 MHz,1581,591
1142,1362,LG,2273,LG Nexus 5X,N/A,Qualcomm MSM8992 Snapdragon 808,6,1440 MHz,2918,1012
1143,N/A,Samsung,2259,Samsung Galaxy J,2329,Qualcomm Snapdragon 800,4,2265 MHz,2118,922
1144,N/A,ZTE,2255,ZTE Nubia Z7 Max,2453,Qualcomm MSM8974AC Snapdragon 801,4,2457 MHz,2086,971
1145,1234,Motorola,2251,Motorola Moto G4,1272,Qualcomm MSM8952 Snapdragon 617,8,1516 MHz,1920,670
1146,1264,Nextbit,2249,Nextbit Robin,2807,Qualcomm MSM8992 Snapdragon 808,6,1440 MHz,2812,1096
1147,2018,Meizu,2241,Meizu M2 Note,N/A,Mediatek MT6753,8,1300 MHz,1447,580
1148,N/A,Lenovo,2231,Lenovo Vibe K6,1461,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1949,625
1149,1927,LG,2228,LG K10 (2017),N/A,Mediatek MT6750,8,1001 MHz,1492,588
1150,N/A,Vivo,2225,Vivo V5s,N/A,Mediatek MT6750,8,1508 MHz,1682,602
1151,N/A,Motorola,2222,Motorola Moto G5S,1468,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1957,626
1152,N/A,HTC,2222,HTC One E8,2482,Qualcomm MSM8975AC Snapdragon 801,4,2457 MHz,2614,940
1153,N/A,Lenovo,2220,Lenovo K6,1472,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1955,627
1154,N/A,Motorola,2205,Motorola Moto G4 Plus,N/A,Qualcomm MSM8952 Snapdragon 617,8,1516 MHz,2118,666
1155,N/A,ASUS,2204,ASUS MeMO Pad 7,N/A,Intel Atom Z3745,4,1862 MHz,1295,908
1156,N/A,ZTE,2191,ZTE Blade X Max,N/A,Qualcomm Snapdragon 435,8,1401 MHz,2066,669
1157,N/A,Meizu,2184,Meizu M5s,N/A,Mediatek MT6753,8,1300 MHz,1577,616
1158,N/A,HTC,2179,HTC One M8 Eye,2068,Qualcomm MSM8974AA Snapdragon 801,4,2265 MHz,2335,922
1159,N/A,Amazon,2161,Amazon Fire HD 10,N/A,Mediatek MT8173,4,1404 MHz,1541,1195
1160,1146,Cat,2151,Cat S60,1288,Qualcomm MSM8952 Snapdragon 617,8,1516 MHz,2353,709
1161,N/A,Meizu,2150,Meizu M5,N/A,Mediatek MT6750,8,1001 MHz,1494,600
1162,2823,Asus,2145,Asus Zenfone 4 Max,1213,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1865,656
1163,1049,ZTE,2144,ZTE Nubia Z11 Mini,N/A,Qualcomm MSM8952 Snapdragon 617,8,1516 MHz,1924,691
1164,N/A,PPTV,2143,PPTV King 7,N/A,Mediatek MT6795 Helio X10,8,1950 MHz,1820,778
1165,N/A,HTC,2134,HTC Desire Eye,2058,Qualcomm MSM8974AA Snapdragon 801,4,2265 MHz,2323,926
1166,N/A,CHUWI,2133,CHUWI Hi8 Pro,N/A,Intel Atom x5-Z8350,4,1840 MHz,3746,933
1167,999,LG,2130,LG G3,2552,Qualcomm MSM8975AC Snapdragon 801,4,2457 MHz,1957,939
1168,N/A,Xiaomi,2128,Xiaomi Mi Note,2212,Qualcomm MSM8974AC Snapdragon 801,4,2457 MHz,2038,928
1169,973,Xiaomi,2127,Xiaomi Mi 4c,2592,Qualcomm MSM8992 Snapdragon 808,6,1440 MHz,2425,1076
1170,2450,Xiaomi,2112,Xiaomi Redmi Note 5A,822,Qualcomm Snapdragon 435,8,1401 MHz,1744,672
1171,1690,Meizu,2110,Meizu M3s,N/A,Mediatek MT6750,8,1508 MHz,1354,627
1172,2442,Motorola,2106,Motorola Moto G6 Play,834,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1910,635
1173,1649,Meizu,2082,Meizu U10,N/A,Mediatek MT6750,8,1001 MHz,1399,601
1174,N/A,Lenovo,2076,Lenovo Tab 2 A10-70 (WiFi),N/A,Mediatek MT8165,4,1690 MHz,1031,738
1175,N/A,Xiaomi,2059,Xiaomi Redmi 4X,1347,Qualcomm Snapdragon 435,8,0 MHz,2170,649
1176,1664,Xiaomi,2057,Xiaomi Mi 3,2402,Qualcomm MSM8274AB Snapdragon 801,4,2265 MHz,2089,910
1177,N/A,Asus,2044,Asus Zenfone Max Plus,N/A,Mediatek MT6750,8,1508 MHz,1595,533
1178,935,Asus,2044,Asus Padfone S,2474,Qualcomm MSM8274AB Snapdragon 801,4,2265 MHz,2201,956
1179,895,Meizu,2042,Meizu MX4 Pro,2012,Samsung Exynos 5430,8,1500 MHz,1717,841
1180,N/A,HTC,2041,HTC One ME,1703,Mediatek MT6795 Helio X10,8,2158 MHz,663,789
1181,N/A,Lenovo,2037,Lenovo Tab 2 A10-70 (4G),N/A,Mediatek MT8732,4,1690 MHz,911,728
1182,1221,ZTE,2028,ZTE Zmax Pro,1247,Qualcomm MSM8952 Snapdragon 617,8,1516 MHz,2127,699
1183,N/A,Huawei,2028,Huawei Honor 5X,1392,Qualcomm MSM8939v2 Snapdragon 616,8,1497 MHz,2274,625
1184,N/A,Samsung,2018,Samsung Galaxy Tab Pro 10.1,N/A,Exynos 5 Octa 5420,4,1900 MHz,1728,807
1185,N/A,Wileyfox,2016,Wileyfox Swift 2,1303,Qualcomm MSM8937 Snapdragon 430,8,0 MHz,2105,627
1186,986,Xiaomi,2010,Xiaomi MI 4LTE,2325,Qualcomm MSM8974AC Snapdragon 801,4,2457 MHz,2020,900
1187,N/A,Meizu,2003,Meizu M3,N/A,Mediatek MT6750,8,1508 MHz,1403,630
1188,N/A,ZTE,2003,ZTE Axon Mini,1228,Qualcomm MSM8939v2 Snapdragon 616,8,1497 MHz,2062,644
1189,N/A,NVIDIA,2001,NVIDIA Tegra Note,N/A,NVIDIA Tegra 4,4,1810 MHz,1683,791
1190,N/A,BLU,1995,BLU Life One X2,1200,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,2049,645
1191,1722,LG,1993,LG Q6,1260,Qualcomm Snapdragon 435,8,1401 MHz,1750,550
1192,N/A,Huawei,1988,Huawei Honor 4C,N/A,HiSilicon Kirin 620,8,1200 MHz,1381,540
1193,N/A,Huawei,1987,Huawei Honor 4X,N/A,HiSilicon Kirin 620,8,1200 MHz,1436,536
1194,1307,Samsung,1982,Samsung Galaxy Note 10.1 (2014),1841,Exynos 5 Octa 5420,4,1900 MHz,1951,768
1195,1593,Samsung,1979,Samsung Galaxy Tab S 10.5,2152,Exynos 5 Octa 5420,4,1900 MHz,1723,785
1196,1225,Huawei,1977,Huawei P8 lite,N/A,HiSilicon Kirin 620,8,1200 MHz,1355,541
1197,N/A,Huawei,1975,Huawei Ascend XT,1244,Qualcomm MSM8939v2 Snapdragon 616,8,1497 MHz,2197,619
1198,1001,Huawei,1972,Huawei G8,1222,Qualcomm MSM8939 Snapdragon 615,8,1497 MHz,2123,619
1199,829,Samsung,1968,Samsung Galaxy Note 3,1987,Exynos 5 Octa 5420,4,1900 MHz,2239,761
1200,N/A,Xiaomi,1967,Xiaomi Mi 4,2269,Qualcomm MSM8974AC Snapdragon 801,4,2457 MHz,1997,891
1201,N/A,Huawei,1966,Huawei Y6II Compact,N/A,Mediatek MT6735,4,1200 MHz,1391,542
1202,N/A,LG,1966,LG Stylus 2 Plus,1317,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1762,587
1203,1994,Samsung,1965,Samsung Galaxy Note Pro 12.2,1806,Exynos 5 Octa 5420,4,1900 MHz,1793,764
1204,N/A,Xiaomi,1948,Xiaomi Mi 4s,2464,Qualcomm MSM8992 Snapdragon 808,6,1440 MHz,2422,946
1205,1437,Samsung,1939,Samsung Galaxy Tab S 10.5,2152,Qualcomm Snapdragon 800,4,1900 MHz,1719,778
1206,995,LG,1926,LG Nexus 5,N/A,Qualcomm Snapdragon 800,4,2265 MHz,1988,897
1207,1076,Yota,1911,Yota YotaPhone 2,2021,Qualcomm MSM8974AA Snapdragon 801,4,2265 MHz,2206,891
1208,N/A,Huawei,1899,Huawei Ascend Mate 7,2639,HiSilicon Kirin 925,8,1305 MHz,1881,767
1209,1163,Oppo,1893,Oppo F1,1253,Qualcomm MSM8939v2 Snapdragon 616,8,1497 MHz,2104,658
1210,1074,Samsung,1891,Samsung Galaxy Tab S 8.4,2344,Exynos 5 Octa 5420,4,1900 MHz,1722,782
1211,N/A,HTC,1881,HTC Butterfly 3,5279,Qualcomm MSM8994 Snapdragon 810,8,1555 MHz,3580,1157
1212,N/A,Vivo,1881,Vivo Y55L,1447,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1971,629
1213,N/A,ZTE,1874,ZTE Axon 7 Mini,1269,Qualcomm MSM8952 Snapdragon 617,8,0 MHz,2339,659
1214,N/A,Lenovo,1873,Lenovo Vibe K5 Plus,1218,Qualcomm MSM8939v2 Snapdragon 616,8,1497 MHz,1788,580
1215,N/A,Huawei,1871,Huawei Honor 6 Plus,2587,HiSilicon Kirin 925,8,1305 MHz,1851,765
1216,N/A,Samsung,1850,Samsung Galaxy Tab S 8.4 LTE,2221,Qualcomm Snapdragon 800,4,1900 MHz,1710,772
1217,N/A,Alcatel,1845,Alcatel Idol 4,1260,Qualcomm MSM8952 Snapdragon 617,8,1516 MHz,2027,693
1218,N/A,Huawei,1845,Huawei Y5 (2017),N/A,Mediatek MT6737T,4,1443 MHz,1203,665
1219,N/A,Vivo,1838,Vivo Y53,583,Qualcomm MSM8917 Snapdragon 425,4,1401 MHz,1232,652
1220,2135,Xiaomi,1833,Xiaomi Redmi 5A,584,Qualcomm MSM8917 Snapdragon 425,4,1401 MHz,1368,671
1221,N/A,Vivo,1831,Vivo Y55s,582,Qualcomm MSM8917 Snapdragon 425,4,1401 MHz,1230,648
1222,N/A,Sony,1828,Sony Xperia L1,N/A,Mediatek MT6737T,4,1443 MHz,1215,660
1223,1011,Samsung,1827,Samsung Galaxy A3 (2016),1204,Samsung Exynos 7578,4,1500 MHz,1124,613
1224,N/A,Lenovo,1819,Lenovo Vibe P1,1237,Qualcomm MSM8939 Snapdragon 615,8,1497 MHz,2022,614
1225,N/A,Asus,1815,Asus Zenpad 8.0,730,MediaTek MT8163 V/B,4,1300 MHz,1153,657
1226,N/A,Huawei,1806,Huawei P9 lite mini,587,Qualcomm MSM8917 Snapdragon 425,4,1401 MHz,1220,651
1227,N/A,Asus,1805,Asus Zenfone 3 Max,1291,Mediatek MT6737,4,1443 MHz,1445,665
1228,712,Samsung,1796,Samsung Galaxy S4 Value Edition,1296,Qualcomm Snapdragon 600,4,1890 MHz,1364,721
1229,904,Samsung,1793,Samsung Galaxy S4 Active,1362,Qualcomm Snapdragon 600,4,1890 MHz,1347,717
1230,919,HTC,1792,HTC Desire 628,N/A,Mediatek MT6753,8,1300 MHz,1401,603
1231,735,Samsung,1774,Samsung Galaxy S4,1431,Qualcomm Snapdragon 600,4,1900 MHz,1521,717
1232,2881,Xiaomi,1774,Xiaomi Redmi 3s,1189,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1802,633
1233,N/A,Xiaomi,1774,Xiaomi Redmi 3x,1199,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1822,632
1234,669,Huawei,1752,Huawei Honor 6,2476,Huawei HiSilicon Kirin 920 Hi3630,8,1305 MHz,1764,738
1235,N/A,Samsung,1752,Samsung Galaxy J3 Prime,N/A,Samsung Exynos 7570,4,1430 MHz,1074,609
1236,N/A,Samsung,1751,Samsung Galaxy J3 (2017),644,Samsung Exynos 7570,4,1430 MHz,1109,606
1237,2655,Xiaomi,1740,Xiaomi Redmi 4A,583,Qualcomm MSM8917 Snapdragon 425,4,1401 MHz,1349,664
1238,N/A,LG,1732,LG K10,398,Qualcomm MSM8916 Snapdragon 410,4,1300 MHz,1508,567
1239,2870,Samsung,1717,Samsung Galaxy J5 Prime,622,Samsung Exynos 7570,4,1430 MHz,1053,599
1240,N/A,Vivo,1716,Vivo V3,1238,Qualcomm MSM8939v2 Snapdragon 616,8,0 MHz,1949,655
1241,1963,Asus,1711,Asus Nexus 7 (2013),N/A,Qualcomm Snapdragon S4 Pro APQ8064,4,1500 MHz,1541,664
1242,N/A,HTC,1704,HTC One M8s,1251,Qualcomm MSM8939 Snapdragon 615,8,1651 MHz,2036,607
1243,460,Samsung,1696,Samsung Galaxy S4,1452,Exynos 5 Octa 5410,4,1600 MHz,1533,683
1244,N/A,Xiaomi,1685,Xiaomi Redmi 3,1182,Qualcomm MSM8939v2 Snapdragon 616,8,1497 MHz,1770,633
1245,N/A,Samsung,1661,Samsung Galaxy Note 3 Neo,1422,Samsung Exynos 5260,6,1300 MHz,1294,709
1246,N/A,BQ,1659,BQ Aquaris M5,1250,Qualcomm MSM8939 Snapdragon 615,8,1459 MHz,1862,574
1247,694,Lenovo,1654,Lenovo Vibe K5,1161,Qualcomm MSM8929 Snapdragon 415,8,0 MHz,1786,605
1248,1040,HTC,1652,HTC One,1274,Qualcomm Snapdragon 600,4,1700 MHz,791,705
1249,1144,Motorola,1652,Motorola Moto X Play,1253,Qualcomm MSM8939 Snapdragon 615,8,1651 MHz,1778,639
1250,N/A,Samsung,1648,Samsung Galaxy J7 Sky Pro,N/A,Qualcomm MSM8953 Snapdragon 625,8,1401 MHz,1201,640
1251,N/A,Samsung,1638,Samsung Galaxy J3 Luna Pro,539,Qualcomm MSM8917 Snapdragon 425,4,1401 MHz,1203,629
1252,978,HTC,1630,HTC One Dual Sim,1216,Qualcomm Snapdragon 600,4,1728 MHz,598,703
1253,841,Samsung,1620,Samsung Galaxy J3 Emerge,567,Qualcomm MSM8937 Snapdragon 430,8,1401 MHz,1157,624
1254,N/A,Amazon,1616,Amazon Fire HD 8 (2017),N/A,MediaTek MT8163 V/B,4,1300 MHz,1027,614
1255,1145,Amazon,1614,Amazon Fire HD 8 (2016),N/A,MediaTek MT8163 V/B,4,1300 MHz,985,612
1256,N/A,Asus,1610,Asus Zenfone Selfie,1236,Qualcomm MSM8939 Snapdragon 615,8,1497 MHz,1670,582
1257,N/A,LG,1608,LG G Pad 8.3,1178,Qualcomm Snapdragon 600,4,1728 MHz,1300,701
1258,N/A,LG,1608,LG K20 plus,532,Qualcomm MSM8917 Snapdragon 425,4,1401 MHz,1079,595
1259,1709,Coolpad,1599,Coolpad Note 3 Lite,N/A,Mediatek MT6735,4,1300 MHz,927,582
1260,N/A,Samsung,1596,Samsung Galaxy J2 Prime,422,Mediatek MT6737,4,1443 MHz,935,557
1261,N/A,BLU,1554,BLU R1 HD,N/A,Mediatek MT6735,4,1300 MHz,879,558
1262,1212,Meizu,1542,Meizu M2,N/A,Mediatek MT6735,4,1300 MHz,848,590
1263,658,Lenovo,1534,Lenovo Vibe Shot,1233,Qualcomm MSM8939 Snapdragon 615,8,1651 MHz,1961,645
1264,N/A,Alcatel,1534,Alcatel OneTouch Idol 3,1236,Qualcomm MSM8939 Snapdragon 615,8,1459 MHz,1800,598
1265,N/A,Samsung,1533,Samsung Galaxy S4 (Google Play Edition),1373,Qualcomm Snapdragon 600,4,1900 MHz,1261,736
1266,837,Xiaomi,1531,Xiaomi MI-2,1246,Qualcomm Snapdragon S4 Pro APQ8064,4,1500 MHz,1312,547
1267,1620,Nokia,1526,Nokia 3,N/A,Mediatek MT6737,4,1248 MHz,1081,557
1268,N/A,ZTE,1523,ZTE Blade V6,N/A,Mediatek MT6735,4,1300 MHz,487,568
1269,N/A,Huawei,1520,Huawei Ascend P7,N/A,HiSilicon Kirin 910T,4,1795 MHz,1022,597
1270,N/A,Motorola,1514,Motorola Moto E4,593,Mediatek MT6737,4,1248 MHz,1098,535
1271,3398,Motorola,1501,Motorola Moto E4 Plus,629,Mediatek MT6737,4,1248 MHz,964,537
1272,581,Samsung,1490,Samsung Galaxy Note II,N/A,Samsung Exynos 4412,4,1600 MHz,961,579
1273,N/A,Motorola,1489,Motorola Moto C Plus,N/A,Mediatek MT6737,4,1248 MHz,910,531
1274,N/A,Oppo,1487,Oppo Find 5,N/A,Qualcomm Snapdragon S4 Pro APQ8064,4,1512 MHz,1124,545
1275,N/A,LG,1484,LG X power,N/A,Mediatek MT6735,4,1300 MHz,1234,555
1276,N/A,LG,1481,LG Optimus G Pro,N/A,Qualcomm Snapdragon 600,4,1700 MHz,1087,688
1277,N/A,Motorola,1481,Motorola Moto G Turbo Edition,1241,Qualcomm MSM8939 Snapdragon 615,8,1459 MHz,1594,590
1278,N/A,Sony,1476,Sony Xperia E5,N/A,Mediatek MT6735,4,1300 MHz,961,555
1279,N/A,Samsung,1471,Samsung Galaxy A7,1255,Qualcomm MSM8939 Snapdragon 615,8,1497 MHz,1984,568
1280,848,Samsung,1469,Samsung Galaxy Note 8.0,N/A,Samsung Exynos 4412,4,1600 MHz,900,579
1281,N/A,LG,1465,LG K8,N/A,Mediatek MT6735,4,1300 MHz,936,542
1282,N/A,Huawei,1452,Huawei Y6 Pro,N/A,Mediatek MT6735P,4,1300 MHz,814,518
1283,701,HTC,1447,HTC Desire 820,1255,Qualcomm MSM8939 Snapdragon 615,8,1536 MHz,1914,573
1284,N/A,Meizu,1437,Meizu M5c,N/A,Mediatek MT6737,4,1248 MHz,1023,552
1285,1376,Samsung,1435,Samsung Galaxy Core Prime,N/A,Qualcomm MSM8916 Snapdragon 410,4,1248 MHz,809,519
1286,1054,Motorola,1424,Motorola Moto G3,458,Qualcomm MSM8916 Snapdragon 410,4,1363 MHz,1004,552
1287,N/A,Sony,1409,Sony Xperia Tablet Z,N/A,Qualcomm Snapdragon S4 Pro APQ8064,4,1512 MHz,978,541
1288,N/A,Sony,1405,Sony Xperia M4 Aqua,1136,Qualcomm MSM8939 Snapdragon 615,8,1459 MHz,1634,599
1289,N/A,Vodafone,1394,Vodafone Smart Ultra 6,1243,Qualcomm MSM8939 Snapdragon 615,8,1459 MHz,1850,578
1290,1008,Wileyfox,1390,Wileyfox Swift,400,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,912,522
1291,N/A,Samsung,1386,Samsung Galaxy Note 10.1,N/A,Samsung Exynos 4412,4,1400 MHz,821,530
1292,N/A,Samsung,1382,Samsung Galaxy Note 10.1 3G,N/A,Samsung Exynos 4412,4,1400 MHz,820,525
1293,N/A,Sony,1379,Sony Xperia ZL,1209,Qualcomm Snapdragon S4 Pro APQ8064,4,1512 MHz,939,539
1294,N/A,Xiaomi,1374,Xiaomi Mi 4i,1237,Qualcomm MSM8939 Snapdragon 615,8,1651 MHz,1404,617
1295,N/A,LG,1373,LG Aristo 2,419,Qualcomm MSM8917 Snapdragon 425,4,1401 MHz,895,554
1296,1074,Sony,1348,Sony Xperia ZR,1189,Qualcomm Snapdragon S4 Pro APQ8064,4,1512 MHz,954,542
1297,926,LG,1347,LG Nexus 4,N/A,Qualcomm Snapdragon S4 Pro APQ8064,4,1500 MHz,1103,535
1298,N/A,Huawei,1347,Huawei Y5II,N/A,Mediatek MT6735,4,1300 MHz,782,473
1299,N/A,Sony,1347,Sony Xperia M4 Aqua Dual,1255,Qualcomm MSM8939 Snapdragon 615,8,1459 MHz,1588,595
1300,N/A,LG,1336,LG Optimus G,N/A,Qualcomm Snapdragon S4 Pro APQ8064,4,1500 MHz,841,511
1301,N/A,HTC,1332,HTC Droid DNA,N/A,Qualcomm Snapdragon S4 Pro APQ8064,4,1500 MHz,964,532
1302,N/A,Vivo,1332,Vivo Y51L,403,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,858,522
1303,1007,Sony,1331,Sony Xperia Z,1210,Qualcomm Snapdragon S4 Pro APQ8064,4,1500 MHz,930,538
1304,N/A,LG,1331,LG Stylo 2,399,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,869,497
1305,N/A,Motorola,1328,Motorola Moto G4 Play,402,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,947,508
1306,N/A,Xiaomi,1328,Xiaomi Redmi 2,N/A,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,892,509
1307,N/A,Doogee,1327,Doogee X5 Max Pro,N/A,Mediatek MT6737,4,1092 MHz,825,513
1308,N/A,Lenovo,1321,Lenovo S90 Sisley,N/A,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,778,520
1309,N/A,Oppo,1311,Oppo A37,399,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,1030,516
1310,N/A,YU,1309,YU Yureka,N/A,Qualcomm MSM8939 Snapdragon 615,8,1497 MHz,1593,559
1311,853,Asus,1298,Asus Zenfone 2 Laser,945,Qualcomm MSM8956 Snapdragon 650,6,1209 MHz,1216,514
1312,N/A,ZTE,1296,ZTE Zmax 2,N/A,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,866,508
1313,N/A,Lenovo,1292,Lenovo A6010,398,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,810,511
1314,N/A,LG,1292,LG G Stylo,N/A,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,863,505
1315,N/A,Samsung,1281,Samsung Galaxy Tab A 9.7,415,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,871,491
1316,1168,Motorola,1272,Motorola Moto E (2nd Gen.),399,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,887,500
1317,N/A,Lenovo,1272,Lenovo Vibe P1m,N/A,Mediatek MT6735,4,988 MHz,717,475
1318,N/A,Samsung,1265,Samsung Galaxy Grand Prime,N/A,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,868,497
1319,N/A,Xiaomi,1264,Xiaomi Redmi 1S,N/A,Qualcomm Snapdragon 400,2,1593 MHz,2619,485
1320,1495,Samsung,1257,Samsung Galaxy Tab A 8.0,399,Qualcomm MSM8916 Snapdragon 410,4,1190 MHz,892,492
1321,845,Samsung,1253,Samsung Galaxy S III,N/A,Samsung Exynos 4412,4,1400 MHz,725,505
1322,N/A,Samsung,1251,Samsung Galaxy Tab E 9.6,N/A,Spreadtrum SC7730,4,1190 MHz,913,496
1323,N/A,LG,1248,LG Stylus 2,398,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,898,491
1324,N/A,Oppo,1235,Oppo A33,N/A,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,920,483
1325,691,Lenovo,1233,Lenovo A2010,N/A,Mediatek MT6735,4,988 MHz,698,452
1326,N/A,LG,1226,LG Spirit,N/A,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,898,477
1327,1033,Samsung,1223,Samsung Nexus 10,N/A,Samsung Exynos 5250,2,1700 MHz,1326,801
1328,N/A,Motorola,1223,Motorola Moto C,N/A,Mediatek MT6737,4,1092 MHz,782,446
1329,N/A,Lenovo,1220,Lenovo Lenovo TB3-710F,N/A,Mediatek MT8161,4,1300 MHz,527,436
1330,1303,Lenovo,1219,Lenovo A6000,401,Qualcomm MSM8916 Snapdragon 410,4,1209 MHz,842,506
1331,N/A,Samsung,1208,Samsung Galaxy S3 Neo,427,Qualcomm MSM8226 Snapdragon 400,4,1401 MHz,769,466
